Track URI,Track Name,Artist URI,Artist Name,Album URI,Album Name,Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,Added By,Added At
spotify:track:3298yRJKPcCndQdNiTZKIo,Sweet Caroline,spotify:artist:7mEIug7XUlQHikrFxjTWes,Neil Diamond,spotify:album:0qtV1svcPG2MmN9Meo6ZZu,Sweet Caroline,6/29/1987,https://i.scdn.co/image/ab67616d0000b27324a7a29995788b14be2dd0f1,1,13,203573,,FALSE,0,spotify:user:dgd13qott8zs5e2si4st3j7a9,2021-03-02T17:46:51Z
spotify:track:4gehZ6WYqLOXZpmMEq3Em9,Only the Good Die Young,spotify:artist:6zFYqv1mOsgBRQbae3JJ9e,Billy Joel,spotify:album:7r36rel1M4gyBavfcJP6Yz,The Essential Billy Joel,10/2/2001,https://i.scdn.co/image/ab67616d0000b273649d4f282653ab8be56f447e,1,10,233333,https://p.scdn.co/mp3-preview/19c2ecd1b6ef2a7427b0154c737be18504a6f577?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,49,spotify:user:dgd13qott8zs5e2si4st3j7a9,2021-03-02T17:46:51Z
spotify:track:2zvot9pY2FNl1E94kc4K8M,Rocket Man (I Think It's Going To Be A Long Long Time),spotify:artist:3PhoLpVuITZKcymswpck5b,Elton John,spotify:album:46g6b33tbttcPtzbwzBoG6,Honky Chateau (Remastered),5/19/1972,https://i.scdn.co/image/ab67616d0000b273b9eca179ac50136e43ee136b,1,5,281613,,FALSE,0,spotify:user:dgd13qott8zs5e2si4st3j7a9,2021-03-02T17:46:51Z
spotify:track:5UvE5QlINnvEc7aFO14DVL,Great Balls Of Fire,spotify:artist:2zyz0VJqrDXeFDIyrfVXSo,Jerry Lee Lewis,spotify:album:18MP7PeHp7MysDCRP2TNpt,The Golden Rock Hits Of Jerry Lee Lewis,5/13/1964,https://i.scdn.co/image/ab67616d0000b27369164b514dd74bee43e6898d,1,3,109706,https://p.scdn.co/mp3-preview/d06b77b23c98f61f833fe3cc95319d42f6b09d05?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,66,spotify:user:dgd13qott8zs5e2si4st3j7a9,2021-03-02T17:46:51Z
spotify:track:6wO13Xb3EdHUNixFOEJ0KV,Whole Lot of Shakin' Going On,spotify:artist:2zyz0VJqrDXeFDIyrfVXSo,Jerry Lee Lewis,spotify:album:6OaajpAGeNsPJFkjyQvqHf,The Essential Jerry Lee Lewis [The Sun Sessions],5/10/2013,https://i.scdn.co/image/ab67616d0000b2737bcd1e3691e6ec2b6f53a5f5,1,6,172400,https://p.scdn.co/mp3-preview/6ba0bd839f44a1d5c23ae647240db1c653359118?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,58,spotify:user:dgd13qott8zs5e2si4st3j7a9,2021-03-02T17:46:51Z
spotify:track:6VeZ970uI0Yi6sjBgyFBrp,Cheeseburger In Paradise,spotify:artist:28AyklUmMECPwdfo8NEsV0,Jimmy Buffett,spotify:album:56JCyRFdBu8cTxla0VrGLK,Son Of A Son Of A Sailor,1/1/1978,https://i.scdn.co/image/ab67616d0000b273b065002ec760593ec9dbe305,1,5,176093,https://p.scdn.co/mp3-preview/54e91378a75187e9ff4a6a3c026334b0bf885111?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,57,spotify:user:dgd13qott8zs5e2si4st3j7a9,2021-03-02T17:46:51Z
spotify:track:1lhpxZT57yw5toGJtt8fGE,Old Time Rock & Roll,spotify:artist:485uL27bPomh29R4JmQehQ,Bob Seger,spotify:album:3IqhO2ukdUkAs83DzamqIJ,Stranger In Town,5/5/1978,https://i.scdn.co/image/ab67616d0000b273f1adcb113c8ad75318f66f9d,1,3,194146,,FALSE,0,spotify:user:dgd13qott8zs5e2si4st3j7a9,2021-03-02T17:46:51Z
spotify:track:4bHsxqR3GMrXTxEPLuK5ue,Don't Stop Believin',spotify:artist:0rvjqX7ttXeg3mTy8Xscbt,Journey,spotify:album:43wpzak9OmQfrjyksuGwp0,Escape,1981,https://i.scdn.co/image/ab67616d0000b2738025ee6a56135658799b07ba,1,1,250986,https://p.scdn.co/mp3-preview/21b9abd3cd2eea634e17a917196fdd5ba2e82670?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,80,spotify:user:dgd13qott8zs5e2si4st3j7a9,2021-03-02T17:46:51Z
spotify:track:57ebBLITHpRgRKGrlbxMZS,Faithfully,spotify:artist:0rvjqX7ttXeg3mTy8Xscbt,Journey,spotify:album:2EFUNYmwxe0AOGxBORrfaw,Frontiers,2/1/1983,https://i.scdn.co/image/ab67616d0000b27338ac6dd1653bc2c69c9ed8dd,1,5,267080,https://p.scdn.co/mp3-preview/e32034615bca1b46c7a11c8653f9e3cba53c2a29?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,67,spotify:user:dgd13qott8zs5e2si4st3j7a9,2021-03-02T17:46:51Z
spotify:track:7EHmKkyAr6MZv5Y2FdZbXw,Lights,spotify:artist:0rvjqX7ttXeg3mTy8Xscbt,Journey,spotify:album:7K4Nk5fHkCuzNm5A6mdo2U,Infinity,1978,https://i.scdn.co/image/ab67616d0000b2730647dd3673e754dd500f382b,1,1,190124,https://p.scdn.co/mp3-preview/51c5e725889996cb3cdf92ba06927bd161f7a8f9?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,59,spotify:user:dgd13qott8zs5e2si4st3j7a9,2021-03-02T17:46:51Z
