Track URI,Track Name,Artist URI,Artist Name,Album URI,Album Name,Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,Added By,Added At
spotify:track:4OMj5QWwvYSUs9O0hsymts,Friends in Low Places,spotify:artist:6RuIbUAQK9fmBq08AbY6XE,Brooks Jefferson,spotify:album:2d0u2yReCiVSyN3iCsogFM,Strummin' On Garth,3/13/2015,https://i.scdn.co/image/ab67616d0000b273680ac0a0e8f39e6e2ae80406,1,6,258507,https://p.scdn.co/mp3-preview/38200d173541d14389aa3e110028dcb6874b77db?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,62,spotify:user:dgd13qott8zs5e2si4st3j7a9,2020-03-23T20:12:40Z
spotify:track:7lJbTVbDEMa3w7NFamrwdq,Fishin' in the Dark,spotify:artist:7y70dch6JuuuNnwlsOQvwW,Nitty Gritty Dirt Band,spotify:album:5ToL8KapdzZAMtOT7Y4USs,Hold On,4/1/1987,https://i.scdn.co/image/ab67616d0000b273a547ecc64c2943fc70abb745,1,1,202786,https://p.scdn.co/mp3-preview/01d0dea7e4e1c2bee8ce657cca0d33a0a9728588?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,67,spotify:user:dgd13qott8zs5e2si4st3j7a9,2020-03-23T20:12:44Z
spotify:track:0bM1z18RQpr61UuI1LemIK,Dixieland Delight,spotify:artist:6rJqqRce0Kvo2dJUXoHleC,Alabama,spotify:album:0eMs6LyA1bTZm8Mx8FPshM,Closer You Get,1983,https://i.scdn.co/image/ab67616d0000b2730fb6baa007c3215725c290a8,1,6,322093,https://p.scdn.co/mp3-preview/4e97025c9b963bd3428a0105644bb57b591a6306?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,62,spotify:user:dgd13qott8zs5e2si4st3j7a9,2020-03-23T20:12:47Z
spotify:track:7Fq9RwQxSn3kW85PrDUf0M,Boot Scootin' Boogie,spotify:artist:0XKOBt59crntr7HQXXO8Yz,Brooks & Dunn,spotify:album:1ZXM9jY3Bsg12KXgwftBrO,#1s ... and then some,9/8/2009,https://i.scdn.co/image/ab67616d0000b273941001e5ce6bc1272466de29,1,15,198226,https://p.scdn.co/mp3-preview/0fc8ab53d79506e7820f74511fe092b5eff4de38?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,69,spotify:user:dgd13qott8zs5e2si4st3j7a9,2020-03-23T20:13:01Z
spotify:track:66S14BkJDxgkYxLl5DCqOz,I'm Gonna Be (500 Miles),spotify:artist:1A92IAcd7A6npCA33oGM5i,The Proclaimers,spotify:album:7hPq9fDWwXPo1tT0oi3XcM,Finest,9/1/2003,https://i.scdn.co/image/ab67616d0000b273b0c0201a8796d8a536253a61,1,1,219466,https://p.scdn.co/mp3-preview/2919264bff964a01ab401bdb3d15b2a953301ae0?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,73,spotify:user:dgd13qott8zs5e2si4st3j7a9,2020-03-23T20:35:02Z
spotify:track:2374M0fQpWi3dLnB54qaLX,Africa,spotify:artist:0PFtn5NtBbbUNbU9EAmIWF,TOTO,spotify:album:62U7xIHcID94o20Of5ea4D,Toto IV,4/8/1982,https://i.scdn.co/image/ab67616d0000b2734a052b99c042dc15f933145b,1,10,295893,https://p.scdn.co/mp3-preview/4551544dbf630ad584de356432e8afbd84b96914?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,82,spotify:user:dgd13qott8zs5e2si4st3j7a9,2020-03-23T20:35:11Z
spotify:track:1k1Bqnv2R0uJXQN4u6LKYt,Ain't No Sunshine,spotify:artist:1ThoqLcyIYvZn7iWbj8fsj,Bill Withers,spotify:album:6N8uPmDqbgXD3ztkCCfxoo,Just As I Am,5/1/1971,https://i.scdn.co/image/ab67616d0000b273e1e350d06ffebd2e19e047ce,1,2,125093,https://p.scdn.co/mp3-preview/22bdf23c62e5ef9e215d2128767214e8f787a968?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,76,spotify:user:dgd13qott8zs5e2si4st3j7a9,2020-03-23T20:35:17Z
spotify:track:3cfOd4CMv2snFaKAnMdnvK,All Star,spotify:artist:2iEvnFsWxR0Syqu2JNopAd,Smash Mouth,spotify:album:2kyTLcEZe6nc1s6ve0zW9P,Astro Lounge,6/8/1999,https://i.scdn.co/image/ab67616d0000b2734f3bbf9631faeb8de9912a23,1,5,200373,https://p.scdn.co/mp3-preview/24a26524cd1e364126bb9680ae4b2d3792946cd6?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,78,spotify:user:dgd13qott8zs5e2si4st3j7a9,2020-03-23T20:35:27Z
spotify:track:5jE48hhRu8E6zBDPRSkEq7,All About That Bass,spotify:artist:6JL8zeS1NmiOftqZTRgdTz,Meghan Trainor,spotify:album:5W98Ab4VvQEuFEE4TIe5fE,Title (Deluxe),1/9/2015,https://i.scdn.co/image/ab67616d0000b2733b11178cccd78ec77fc12dbc,1,2,187920,https://p.scdn.co/mp3-preview/d20d6fc24fbf2eae191b3d943e1b640570acb466?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,71,spotify:user:dgd13qott8zs5e2si4st3j7a9,2020-03-23T20:35:33Z
spotify:track:2m1hi0nfMR9vdGC8UcrnwU,All The Small Things,spotify:artist:6FBDaR13swtiWwGhX1WQsP,blink-182,spotify:album:652N05EcNH1a4bIlUixQE2,Enema Of The State,6/1/1999,https://i.scdn.co/image/ab67616d0000b2736da502e35a7a3e48de2b0f74,1,8,167066,https://p.scdn.co/mp3-preview/909d312e596dbb3cd53ac8d1daf51e825566029d?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,79,spotify:user:dgd13qott8zs5e2si4st3j7a9,2020-03-23T20:35:43Z
